Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
F,32,172,67,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver,USA
M,22,170,57,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Triple Jump,Gold,UK
M,21,168,69.5,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze,Finland
M,26,NA,NA,Finland,FIN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,Finland
M,24,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver,Sweden
M,19,NA,NA,United States,USA,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,USA
M,29,189,80,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Germany
M,41,189,80,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Germany
M,25,NA,NA,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,Silver,Sweden
M,31,NA,NA,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,Bronze,Sweden
M,29,179,72,Indonesia-1,INA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold,Indonesia
M,23,176,64,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Triple Jump,Gold,Sweden
M,34,190,88,Germany-1,GER,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,Germany
F,22,172,52,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,USA
F,22,172,52,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,Silver,USA
F,22,172,52,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,USA
M,20,NA,NA,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze,Pakistan
M,21,162,62,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold,Pakistan
M,21,170,62,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold,Pakistan
M,30,150,70,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Silver,Pakistan
M,26,NA,NA,Lucky Girl-1,FIN,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Bronze,Finland
M,30,169,66,Mutafo,GER,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Silver,Germany
F,23,178,85,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold,Germany
M,28,195,97,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold,USA
F,23,176,70,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,Silver,Chile
M,26,192,102,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver,Italy
M,30,192,102,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze,Italy
F,26,165,60,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver,Argentina
F,30,165,60,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze,Argentina
F,34,165,60,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze,Argentina
F,27,172,74,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver,Italy
M,32,NA,107,Austria,AUT,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Heavyweight,Silver,Austria
M,23,183,75,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze,Germany
M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Silver,Japan
M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Silver,Japan
M,25,154,53,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
M,25,154,53,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,Gold,Japan
M,21,156,55,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,Japan
M,28,183,85,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze,Japan
M,23,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze,Australia
M,19,183,90,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed One Person Dinghy,Silver,UK
M,23,183,90,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed One Person Dinghy,Gold,UK
M,27,183,90,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,Gold,UK
M,31,183,90,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Gold,UK
M,35,183,90,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold,UK
M,25,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,UK
M,34,185,85,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Bronze,UK
M,27,NA,NA,Canada,CAN,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Silver,Canada
F,30,NA,NA,Great Britain-1,GBR,1912 Summer,1912,Summer,Stockholm,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver,UK
M,21,173,65,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Australia
M,25,173,65,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Australia
M,29,173,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold,Australia
M,20,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold,France
M,35,177,88,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Ukraine
F,17,167,45,Greece,GRE,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,Greece
M,20,172,79,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze,Nigeria
M,27,175,93,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold,Cuba
M,31,175,93,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold,Cuba
M,35,175,93,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver,Cuba
M,20,180,62,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Canada
F,24,164,57,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,Gold,Nigeria
M,25,185,81,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,UK
M,33,185,81,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,Bronze,UK
M,33,185,81,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,UK
M,19,172,74,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Japan
M,27,172,74,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,Japan
M,23,NA,NA,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,Turkey
M,NA,167,57,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,Turkey
M,NA,167,57,Turkey,TUR,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,Turkey
M,23,168,62,Turkey,TUR,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Turkey
M,24,NA,NA,Sweden,SWE,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold,Sweden
M,28,NA,NA,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver,Sweden
M,20,NA,NA,Bissbi,SWE,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold,Sweden
F,30,178,68,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold,USA
M,25,192,125,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Turkey
F,18,181,80,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Gold,Russia
M,21,165,56,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze,Uzbekistan
M,28,187,79,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold,Russia
M,21,190,120,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Russia
M,34,184,87,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Bulgaria
F,23,160,52,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze,Russia
M,26,180,79,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Bronze,Russia
M,22,188,77,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Gold,Uganda
M,24,181,84,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Gold,Russia
M,27,184,80,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Gold,Russia
F,22,163,61,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,USA
F,24,191,79,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver,USA
M,19,178,105,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Russia
M,23,178,105,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,Russia
F,25,165,57,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze,Russia
M,26,NA,109,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,Silver,Russia
F,26,183,74,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze,USA
F,29,165,58,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze,Russia
M,21,173,67,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Russia
M,25,173,67,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,Russia
M,26,201,100,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze,Russia
F,17,174,62,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Russia
M,23,192,88,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Silver,Russia
M,22,187,81,Syria,SYR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,Bronze,Syria
M,41,178,82,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,Bronze,Qatar
M,33,178,95,Kuwait,KUW,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Double Trap,Bronze,Kuwait
M,45,178,95,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Bronze,Kuwait
M,49,178,95,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold,Individual Olympic Athletes
M,40,162,70,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Saudi Arabia
M,31,175,57,Saudi Arabia,KSA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,Saudi Arabia
M,40,175,67,United Arab Emirates,UAE,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,Gold,United Arab Emirates
M,52,183,83,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze,Individual Olympic Athletes
M,23,191,72,Saudi Arabia,KSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Silver,Saudi Arabia
F,26,164,55,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Windsurfer,Gold,Spain
M,33,176,74,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Silver,Russia
M,23,154,52,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,Russia
M,26,172,73,Pakistan,PAK,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver,Pakistan
M,25,190,81,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver,Croatia
M,25,179,80,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed One Person Dinghy,Bronze,Italy
M,26,NA,NA,France-3,FRA,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,Bronze,France
M,24,192,156,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,Russia
M,23,182,75,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver,Spain
M,20,184,75,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Germany
M,29,192,82,Italy,ITA,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Silver,Italy
M,NA,NA,NA,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver,France
M,NA,NA,NA,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze,France
M,18,182,75,Hungary,HUN,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,Bronze,Hungary
M,30,NA,NA,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,Denmark
M,26,177,67,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 10,000 metres",Bronze,Sweden
M,20,180,83,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze,Italy
M,19,165,66,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,Russia
M,NA,NA,NA,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxless Fours,Bronze,Switzerland
M,NA,NA,NA,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold,Switzerland
M,39,181,67,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Gold,Sweden
M,23,191,79,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's High Jump,Silver,USA
M,24,181,87,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,Russia
M,30,183,76,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze,Brazil
M,20,183,63,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,Silver,Cuba
M,24,183,63,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,Gold,Cuba
M,NA,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,UK
M,NA,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Cycling,Cycling Men's 50 kilometres,Silver,UK
M,NA,NA,NA,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Cycling,Cycling Men's 50 kilometres,Silver,UK
M,22,177,75,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,USA
F,17,170,59,United States,USA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,USA
M,23,184,75,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver,Spain
F,26,171,58,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold,New Zealand
F,30,171,58,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Silver,New Zealand
M,28,200,130,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,Gold,Lithuania
M,32,200,130,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Discus Throw,Gold,Lithuania
M,36,200,130,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,Bronze,Lithuania
M,20,176,89,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Bulgaria
F,19,180,83,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver,Russia
F,23,180,83,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,Gold,Russia
M,20,190,98,Armenia,ARM,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Armenia
M,24,190,98,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,Armenia
M,30,185,160,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold,Russia
M,34,185,160,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold,Russia
F,17,157,50,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Diving,Diving Women's Platform,Bronze,Russia
M,26,193,96,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia
M,30,193,96,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold,Serbia
M,24,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Bronze,USA
M,26,183,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Silver,Germany
M,21,177,60,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver,Brazil
M,26,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Silver,UK
F,27,172,58,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,Canada
M,24,188,74,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",Silver,UK
F,23,170,69,Canada,CAN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Bronze,Canada
M,24,170,73,France,FRA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,Bronze,France
M,28,170,73,France,FRA,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Gold,France
M,18,179,71,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze,Brazil
M,26,157,52,Romania,ROU,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver,Romania
M,26,189,81,Romania,ROU,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Heavyweight,Silver,Romania
M,23,184,74,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Diving,Diving Men's Platform,Bronze,Russia
M,27,184,74,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Diving,Diving Men's Platform,Silver,Russia
M,33,181,88,Russia,RUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze,Russia
M,21,207,90,Niger,NIG,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Silver,Niger
F,30,170,62,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Long Jump,Bronze,Russia
M,27,188,84,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold,USA
M,22,NA,NA,Sweden,SWE,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Bronze,Sweden
M,20,NA,NA,Heatherbell,FIN,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 12 metres,Bronze,Finland
M,23,183,77,Brazil,BRA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Bronze,Brazil
M,35,183,77,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze,Brazil
F,37,163,56,Sweden,SWE,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,Sweden
F,27,170,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Silver,USA
M,30,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Gold,India
M,22,165,61,India,IND,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold,India
M,17,180,69,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,France
M,29,158,48,Iran,IRI,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver,Iran
M,30,NA,NA,France,FRA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",Gold,France
M,30,NA,NA,France,FRA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Gold,France
M,41,168,72,Russia,RUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,Russia
M,45,168,72,Russia,RUS,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,Russia
M,26,200,110,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze,Croatia
